index,company_id,company_name,total,handled,valuable
153,无锡市易房信息技术服务有限公司,https://www.butian.net/Company/64320,30,28,1
154,深圳市金龄科技有限公司,https://www.butian.net/Company/64319,50,46,1
155,杭州高锦科技有限公司,https://www.butian.net/Company/64318,26,21,1
156,杭州青橄榄网络技术有限公司,https://www.butian.net/Company/64317,63,55,1
157,无锡爱德康赛广告有限公司,https://www.butian.net/Company/64316,25,20,1
158,金三立,https://www.butian.net/Company/64308,15,12,1
159,中国化工施工企业协会,https://www.butian.net/Company/64305,29,28,1
160,北京友信宝网络科技有限公司,https://www.butian.net/Company/64304,6,5,0
161,日立楼宇技术（广州）有限公司,https://www.butian.net/Company/64300,20,19,1
162,郑州木云电子科技有限公司,https://www.butian.net/Company/64299,4,3,0
163,北京大米翁科技有限公司,https://www.butian.net/Company/64286,7,5,0
164,深圳紫虎软件有限公司,https://www.butian.net/Company/64284,14,9,0
165,湖南希赛网络科技有限公司,https://www.butian.net/Company/64282,14,12,1
166,北京首邮实业有限公司,https://www.butian.net/Company/64280,1,0,0
167,佛山市浪寒云科技有限公司,https://www.butian.net/Company/64273,5,2,0
168,石家庄恩创网络科技有限公司,https://www.butian.net/Company/64269,2,0,0
169,山西卓育信息技术有限公司,https://www.butian.net/Company/64264,51,41,1
170,中航基金管理有限公司,https://www.butian.net/Company/64260,6,6,0
171,杭州贝它科技有限公司,https://www.butian.net/Company/64254,14,6,0
172,广州天宸健康科技有限公司,https://www.butian.net/Company/64251,10,8,0
173,南京厚建软件有限责任公司,https://www.butian.net/Company/64250,24,21,1
174,湖南安全技术职业学院（长沙煤矿安全技术培训中心）,https://www.butian.net/Company/64249,9,7,0
175,上海翻来翻去科技有限公司,https://www.butian.net/Company/64245,3,0,0
176,众安集团有限公司,https://www.butian.net/Company/64243,7,5,0
177,江苏传智播客教育科技股份有限公司,https://www.butian.net/Company/64239,77,62,1
178,濮阳医学高等专科学校,https://www.butian.net/Company/64236,14,13,1
179,濮阳石油化工职业技术学院,https://www.butian.net/Company/64235,1,0,0
180,合商科技有限公司,https://www.butian.net/Company/64234,17,14,1
181,新疆能源(集团)有限责任公司,https://www.butian.net/Company/64224,38,35,1
182,陕西美邦药业集团股份有限公司,https://www.butian.net/Company/64220,7,4,0
183,北京维网云数据科技有限公司,https://www.butian.net/Company/64219,16,10,1
184,中国联合网络通信有限公司山东省分公司,https://www.butian.net/Company/64211,4,1,0
185,南京中软软件与技术服务有限公司,https://www.butian.net/Company/64205,0,0,0
186,上海易路软件有限公司,https://www.butian.net/Company/64202,34,3,0
187,上海网鱼信息科技有限公司,https://www.butian.net/Company/64196,69,56,1
188,兰州大学,https://www.butian.net/Company/64194,146,106,1
189,云南白药集团股份有限公司,https://www.butian.net/Company/64189,97,60,1
190,江西巨网科技有限公司,https://www.butian.net/Company/64188,9,5,0
191,上海甄知科技有限公司,https://www.butian.net/Company/64183,11,4,0
192,上海喵果信息技术有限公司,https://www.butian.net/Company/64182,29,14,1
193,博罗县园洲镇东侨印花材料厂,https://www.butian.net/Company/64179,1,0,0
194,东莞滨海湾新区管理委员会,https://www.butian.net/Company/64169,1,1,0
195,阜阳市心品网络科技有限公司,https://www.butian.net/Company/64161,63,0,0
196,贵州多彩宝互联网服务有限公司,https://www.butian.net/Company/64159,16,7,0
197,上海赛连信息科技有限公司,https://www.butian.net/Company/64156,14,9,0
198,徐州市第四人民医院,https://www.butian.net/Company/64154,4,4,0
199,大龙的线上账号,https://www.butian.net/Company/64152,0,0,0
200,蝴蝶互动（上海）信息技术有限公司,https://www.butian.net/Company/64142,15,14,1
201,天聚地合（苏州）科技股份有限公司,https://www.butian.net/Company/64135,17,15,1
202,宁波大学科学技术学院,https://www.butian.net/Company/64132,11,7,0
203,浙大宁波理工学院,https://www.butian.net/Company/64131,8,6,0
204,福建青松股份有限公司,https://www.butian.net/Company/64129,28,8,0
205,广州万彩信息技术有限公司,https://www.butian.net/Company/64127,28,24,1
206,北京航空航天大学宁波创新研究院,https://www.butian.net/Company/64126,0,0,0
207,中国电信股份有限公司四川分公司,https://www.butian.net/Company/64125,0,0,0
208,广州文远知行科技有限公司,https://www.butian.net/Company/64124,7,4,0
209,洛阳铁路信息工程学校,https://www.butian.net/Company/64122,19,13,1
210,宁波开放大学,https://www.butian.net/Company/64117,6,5,0
211,江苏威鸿嘉信息科技有限公司,https://www.butian.net/Company/64115,8,1,0
212,上海东洲罗顿通信股份有限公司,https://www.butian.net/Company/64109,31,0,0
213,浙江农村商业联合银行股份有限公司,https://www.butian.net/Company/64107,5,1,0
214,中国软件评测中心,https://www.butian.net/Company/64106,4,2,0
215,火烈鸟网络（广州）股份有限公司,https://www.butian.net/Company/64098,14,13,1
216,浙江深大智能科技有限公司,https://www.butian.net/Company/64091,24,23,1
217,郑州悉知信息科技股份有限公司,https://www.butian.net/Company/64088,17,9,0
218,北京安领可信网络科技有限公司,https://www.butian.net/Company/64086,9,8,0
219,唐颐控股(深圳)有限公司,https://www.butian.net/Company/64062,19,17,1
220,河南交通职业技术学院,https://www.butian.net/Company/64061,30,13,1
221,中国联合网络通信有限公司辽宁分公司,https://www.butian.net/Company/64057,5,1,0
222,河南经贸职业学院,https://www.butian.net/Company/64056,16,3,0
223,北京地平线信息技术有限公司,https://www.butian.net/Company/64054,21,16,1
224,武汉威泰科技发展有限公司,https://www.butian.net/Company/64053,6,4,0
225,河南经济贸易技师学院,https://www.butian.net/Company/64052,25,24,1
226,北京新能源汽车股份有限公司,https://www.butian.net/Company/64051,1,1,0
227,重庆市医疗保障局,https://www.butian.net/Company/64049,1,0,0
228,重庆市住房和城乡建设委员会,https://www.butian.net/Company/64046,10,9,0
229,周口师范学院,https://www.butian.net/Company/64042,14,9,0
230,郑州工业应用技术学院,https://www.butian.net/Company/64041,0,0,0
231,长垣烹饪职业技术学院,https://www.butian.net/Company/64040,10,0,0
232,商丘师范学院,https://www.butian.net/Company/64039,18,2,0
233,商丘职业技术学院,https://www.butian.net/Company/64038,3,3,0
234,上海联通,https://www.butian.net/Company/64036,0,0,0
235,平顶山工业职业技术学院,https://www.butian.net/Company/64035,5,1,0
236,河南女子职业学院,https://www.butian.net/Company/64034,8,5,0
237,宁波工程学院,https://www.butian.net/Company/64033,15,11,1
238,河南工业大学,https://www.butian.net/Company/64032,43,8,0
239,新乡工程学院,https://www.butian.net/Company/64031,1,0,0
240,河南科技职业大学,https://www.butian.net/Company/64030,5,1,0
241,新乡职业技术学院,https://www.butian.net/Company/64025,11,8,0
242,河南职业技术学院,https://www.butian.net/Company/64024,21,9,0
243,河南建筑职业技术学院,https://www.butian.net/Company/64023,8,8,0
244,新乡医学院三全学院,https://www.butian.net/Company/64016,10,8,0
245,济南来宝医疗器械有限公司,https://www.butian.net/Company/64015,8,7,0
246,南京工程学院,https://www.butian.net/Company/64014,34,0,0
247,广东万和新电气股份有限公司,https://www.butian.net/Company/64011,99,13,1
248,北京螳螂科技有限公司,https://www.butian.net/Company/64007,29,28,1
249,北京大兴国际机场,https://www.butian.net/Company/63982,4,3,0
250,中国联通软件研究院,https://www.butian.net/Company/63981,1,0,0
251,湖南铁职技术学院,https://www.butian.net/Company/63980,8,5,0
252,北京市西城区科学技术和信息化局,https://www.butian.net/Company/63979,17,14,1
253,爱尔眼科医院集团股份有限公司,https://www.butian.net/Company/63975,102,68,1
254,上海外服（集团）有限公司,https://www.butian.net/Company/63971,19,15,1
255,郑州思创网络技术有限公司,https://www.butian.net/Company/63966,32,14,1
256,北京市市政工程设计研究总院有限公司,https://www.butian.net/Company/63962,12,5,0
257,新余日报社,https://www.butian.net/Company/63961,2,2,0
258,四川信息职业技术学院,https://www.butian.net/Company/63952,66,44,1
259,无锡工艺职业技术学院,https://www.butian.net/Company/63951,5,4,0
260,北京拉勾网络技术有限公司,https://www.butian.net/Company/63947,10,0,0
261,深圳市佰仟金融服务有限公司,https://www.butian.net/Company/63946,3,3,0
262,北京艾德晟昌科技有限公司,https://www.butian.net/Company/63943,28,3,0
263,厦门建发集团有限公司,https://www.butian.net/Company/63935,43,22,1
264,通利琴行（上海）有限公司,https://www.butian.net/Company/63931,21,1,0
265,中国移动通信集团江苏有限公司丹阳分公司,https://www.butian.net/Company/63930,0,0,0
266,江苏鼎昊信息科技有限公司,https://www.butian.net/Company/63929,18,10,1
267,上海松佰牙科器械有限公司,https://www.butian.net/Company/63924,20,20,1
268,天津灵犀互联企业服务有限公司,https://www.butian.net/Company/63923,7,7,0
269,长春建筑学院,https://www.butian.net/Company/63922,5,5,0
270,厦门夏谷软件股份有限公司,https://www.butian.net/Company/63919,23,20,1
271,新乡职业技术学院,https://www.butian.net/Company/64025,11,8,0
272,河南职业技术学院,https://www.butian.net/Company/64024,21,9,0
273,河南建筑职业技术学院,https://www.butian.net/Company/64023,8,8,0
274,新乡医学院三全学院,https://www.butian.net/Company/64016,10,8,0
275,济南来宝医疗器械有限公司,https://www.butian.net/Company/64015,8,7,0
276,南京工程学院,https://www.butian.net/Company/64014,34,0,0
277,广东万和新电气股份有限公司,https://www.butian.net/Company/64011,99,13,1
278,北京螳螂科技有限公司,https://www.butian.net/Company/64007,29,28,1
279,北京大兴国际机场,https://www.butian.net/Company/63982,4,3,0
280,中国联通软件研究院,https://www.butian.net/Company/63981,1,0,0
281,湖南铁职技术学院,https://www.butian.net/Company/63980,8,5,0
282,北京市西城区科学技术和信息化局,https://www.butian.net/Company/63979,17,14,1
283,爱尔眼科医院集团股份有限公司,https://www.butian.net/Company/63975,102,68,1
284,上海外服（集团）有限公司,https://www.butian.net/Company/63971,19,15,1
285,郑州思创网络技术有限公司,https://www.butian.net/Company/63966,32,14,1
286,北京市市政工程设计研究总院有限公司,https://www.butian.net/Company/63962,12,5,0
287,新余日报社,https://www.butian.net/Company/63961,2,2,0
288,四川信息职业技术学院,https://www.butian.net/Company/63952,66,44,1
289,无锡工艺职业技术学院,https://www.butian.net/Company/63951,5,4,0
290,北京拉勾网络技术有限公司,https://www.butian.net/Company/63947,10,0,0
291,深圳市佰仟金融服务有限公司,https://www.butian.net/Company/63946,3,3,0
292,北京艾德晟昌科技有限公司,https://www.butian.net/Company/63943,28,3,0
293,厦门建发集团有限公司,https://www.butian.net/Company/63935,43,22,1
294,通利琴行（上海）有限公司,https://www.butian.net/Company/63931,21,1,0
295,中国移动通信集团江苏有限公司丹阳分公司,https://www.butian.net/Company/63930,0,0,0
296,江苏鼎昊信息科技有限公司,https://www.butian.net/Company/63929,18,10,1
297,上海松佰牙科器械有限公司,https://www.butian.net/Company/63924,20,20,1
298,天津灵犀互联企业服务有限公司,https://www.butian.net/Company/63923,7,7,0
299,长春建筑学院,https://www.butian.net/Company/63922,5,5,0
300,厦门夏谷软件股份有限公司,https://www.butian.net/Company/63919,23,20,1
301,东营利讯电子科技有限公司,https://www.butian.net/Company/63820,12,12,1
302,福建邵武市行方信息科技有限公司,https://www.butian.net/Company/63819,4,3,0
303,山东十亩海大数据科技有限公司,https://www.butian.net/Company/63814,1,0,0
304,河南司法警官职业学院,https://www.butian.net/Company/63813,7,4,0
305,南京医科大学,https://www.butian.net/Company/63812,29,28,1
306,郑州财税金融职业学院,https://www.butian.net/Company/63811,4,1,0
307,河南艺术职业学院,https://www.butian.net/Company/63810,7,5,0
308,河南财经政法大学,https://www.butian.net/Company/63809,24,7,0
309,浙江省温州大学,https://www.butian.net/Company/63808,35,22,1
310,游酷盛世科技（北京）有限公司,https://www.butian.net/Company/63807,2,2,0
311,河南农业大学,https://www.butian.net/Company/63804,21,4,0
312,中坤鼎昊（北京）国际商务服务有限公司,https://www.butian.net/Company/63801,17,4,0
313,三门峡市中心医院,https://www.butian.net/Company/63800,5,5,0
314,北京大北农科技集团股份有限公司,https://www.butian.net/Company/63798,8,6,0
315,北京农信互联科技集团有限公司,https://www.butian.net/Company/63797,19,13,1
316,泰豪动漫学院,https://www.butian.net/Company/63794,27,27,1
317,广州艺赫科技有限公司,https://www.butian.net/Company/63792,1,1,0
318,团油信息技术有限公司,https://www.butian.net/Company/63785,31,24,1
319,北京大学附属中学,https://www.butian.net/Company/63783,13,9,0
320,常州嘉宏房地产开发有限公司,https://www.butian.net/Company/63780,46,33,1
321,梅赛德斯奔驰汽车金融有限公司,https://www.butian.net/Company/63777,10,3,0
322,中国社会科学网,https://www.butian.net/Company/63776,6,0,0
323,深圳市华宝新能源股份有限公司,https://www.butian.net/Company/63775,13,1,0
324,中国航空技术国际控股有限公司,https://www.butian.net/Company/63772,7,1,0
325,三一集团,https://www.butian.net/Company/63770,29,11,1
326,广西中医药大学,https://www.butian.net/Company/63765,19,17,1
327,合肥彼岸互联信息技术有限公司,https://www.butian.net/Company/63763,65,26,1
328,福州朴朴电子商务有限公司,https://www.butian.net/Company/63761,6,3,0
329,北京易点淘网络科技有限公司,https://www.butian.net/Company/63760,21,13,1
330,峰米（北京）科技有限公司,https://www.butian.net/Company/63758,8,7,0
331,北京市发展和改革委员会,https://www.butian.net/Company/63754,3,0,0
332,上海维信荟智金融科技有限公司,https://www.butian.net/Company/63752,8,2,0
333,深圳市罗湖区教育科学研究院,https://www.butian.net/Company/63745,6,6,0
334,广西绿城水务股份有限公司,https://www.butian.net/Company/63743,20,0,0
335,宁波市人力资源和社会保障局信息中心,https://www.butian.net/Company/63742,13,13,1
336,东莞市轻云网络科技有限公司,https://www.butian.net/Company/63738,2,0,0
337,郑州红蓝网络科技有限公司,https://www.butian.net/Company/63736,5,0,0
338,河南省郑州大学,https://www.butian.net/Company/63734,105,73,1
339,上海友朋网络科技有限公司,https://www.butian.net/Company/63732,2,2,0
340,复旦大学附属中学,https://www.butian.net/Company/63731,4,0,0
341,广东长荣科技有限公司,https://www.butian.net/Company/63727,25,13,1
342,永安市数字永安建设办公室,https://www.butian.net/Company/63718,2,0,0
343,成都六人行信息科技有限公司,https://www.butian.net/Company/63713,1,0,0
344,杭州牛片网络科技有限公司,https://www.butian.net/Company/63711,20,18,1
345,衡阳小淘科技有限公司,https://www.butian.net/Company/63708,24,23,1
346,中原科技学院,https://www.butian.net/Company/63705,5,5,0
347,北京新文道教育科技集团有限公司,https://www.butian.net/Company/63701,20,17,1
348,长春电子科技学院,https://www.butian.net/Company/63694,3,3,0
349,长城汽车股份有限公司,https://www.butian.net/Company/63693,196,148,1
350,成都开心音符科技有限公司,https://www.butian.net/Company/63691,4,0,0
351,北京彩彻区明科技有限公司,https://www.butian.net/Company/63683,16,7,0
352,湖南尚上市政建设开发有限公司,https://www.butian.net/Company/63677,20,0,0
353,广东省交通规划设计研究院集团股份有限公司,https://www.butian.net/Company/63676,25,22,1
354,山东省鲁信投资控股集团有限公司,https://www.butian.net/Company/63675,8,5,0
355,汕头大学医学院附属肿瘤医院,https://www.butian.net/Company/63674,9,9,0
356,建荣皇家海洋科普世界（沈阳）有限公司,https://www.butian.net/Company/63672,40,29,1
357,西安市卫生学校,https://www.butian.net/Company/63671,14,14,1
358,广州燃石医学检验所有限公司,https://www.butian.net/Company/63664,17,16,1
359,成都亿惠电子商务有限责任公司,https://www.butian.net/Company/63656,1,1,0
360,河南智众软件科技有限公司,https://www.butian.net/Company/63652,2,1,0
361,成都飞数科技有限公司,https://www.butian.net/Company/63649,20,7,0
362,深圳永安在线科技有限公司,https://www.butian.net/Company/63648,4,1,0
363,浙江新通教育科技股份有限公司,https://www.butian.net/Company/63647,32,29,1
364,北京自如信息科技有限公司,https://www.butian.net/Company/63646,12,4,0
365,保利影业投资有限公司,https://www.butian.net/Company/63640,15,10,1
366,深圳星火动漫游戏科技有限公司,https://www.butian.net/Company/63635,7,3,0
367,江苏银承网络科技股份有限公司,https://www.butian.net/Company/63630,3,2,0
368,中国石油大学（北京）,https://www.butian.net/Company/63627,22,19,1
369,广州楚才信息科技有限公司,https://www.butian.net/Company/63624,70,61,1
370,广州风信计算机科技有限公司,https://www.butian.net/Company/63621,13,13,1
371,陕西财经职业技术学院,https://www.butian.net/Company/63619,16,12,1
372,国家体育总局彩票管理中心,https://www.butian.net/Company/63617,7,3,0
373,河南工业职业技术学院,https://www.butian.net/Company/63616,23,23,1
374,长沙友点软件科技有限公司,https://www.butian.net/Company/63612,22,20,1
375,山东金佰利控股集团有限公司,https://www.butian.net/Company/63607,80,55,1
376,天翼智慧家庭科技有限公司,https://www.butian.net/Company/63606,3,1,0
377,教育部教育管理信息中心,https://www.butian.net/Company/63605,7,7,0
378,杭州默安,https://www.butian.net/Company/63604,3,2,0
379,山东京博控股集团有限公司,https://www.butian.net/Company/63596,20,8,0
380,杭州华橙网络科技有限公司,https://www.butian.net/Company/63594,6,5,0
381,广州超级周末科技有限公司,https://www.butian.net/Company/63592,14,1,0
