index,company_id,company_name,total,handled,valuable,ICP,domain,institution
1893,上海秦苍信息科技有限公司,https://www.butian.net/Company/58523,2,0,0,沪ICP备12005915号-3,www.qingchunbank.com,企业
1894,Regus,https://www.butian.net/Company/58490,0,0,0,N/A,N/A,N/A
1895,北京大学医学部,https://www.butian.net/Company/58480,37,34,1,N/A,N/A,N/A
1896,上海开放大学徐汇财贸分校,https://www.butian.net/Company/58415,1,0,0,N/A,N/A,N/A
1897,上海朗阁教育培训有限公司,https://www.butian.net/Company/58401,15,0,0,N/A,N/A,N/A
1898,上海拜特尔安全设备有限公司,https://www.butian.net/Company/58381,2,0,0,沪ICP备06000578号-2,www.btr-ex.com,企业
1899,中国江苏网,https://www.butian.net/Company/58366,6,0,0,N/A,N/A,N/A
1900,青岛泽旭网络科技有限公司,https://www.butian.net/Company/58363,4,0,0,鲁ICP备10206257号-4,www.n29.cn,企业
1901,深圳市天威视讯股份有限公司,https://www.butian.net/Company/58362,5,5,0,粤B2-20030013号-2,www.002238.com.cn,企业
1902,大连医科大学,https://www.butian.net/Company/58356,15,0,0,辽ICP备15008628号-1,www.dmu.edu.cn,事业单位
1903,上海尊溢商务信息服务有限公司,https://www.butian.net/Company/58354,2,0,0,N/A,N/A,N/A
1904,成都人事考试中心,https://www.butian.net/Company/58353,0,0,0,N/A,N/A,N/A
1905,Formax金融圈,https://www.butian.net/Company/58346,0,0,0,N/A,N/A,N/A
1906,中铁第五勘察设计院,https://www.butian.net/Company/58344,0,0,0,N/A,N/A,N/A
1907,交通运输部海事局,https://www.butian.net/Company/58341,10,0,0,N/A,N/A,N/A
1908,上海证券有限责任公司,https://www.butian.net/Company/58334,0,0,0,沪ICP备08106161号-2,www.shzq.com,企业
1909,金华职业技术学院,https://www.butian.net/Company/58333,10,7,0,浙ICP备12030250号-4,122.227.41.196,事业单位
1910,中电运行,https://www.butian.net/Company/58328,1,0,0,N/A,N/A,N/A
1911,百合网1,https://www.butian.net/Company/58327,1,0,0,N/A,N/A,N/A
1912,安徽省高速石化有限公司,https://www.butian.net/Company/58326,29,9,0,皖ICP备16024334号-1,www.ahgssh.com,企业
1913,蚌埠市监察局,https://www.butian.net/Company/58322,1,0,0,N/A,N/A,N/A
1914,大连华信计算机技术股份有限公司,https://www.butian.net/Company/58321,18,16,1,N/A,N/A,N/A
1915,安徽广播电视台,https://www.butian.net/Company/58318,4,0,0,皖ICP备11010175号-7,www.ahtv.cn,事业单位
1916,早教网,https://www.butian.net/Company/2765,8,2,0,N/A,N/A,N/A
1917,吉林大学,https://www.butian.net/Company/534,57,52,1,吉ICP备06002985号-9,www.lcgdbzz.com,事业单位
1918,易班网,https://www.butian.net/Company/576,26,10,1,N/A,N/A,N/A
1919,亿人互联,https://www.butian.net/Company/1330,4,1,0,N/A,N/A,N/A
1920,赛尔互联（北京）教育科技有限公司,https://www.butian.net/Company/4344,17,14,1,N/A,N/A,N/A
1921,一号店,https://www.butian.net/Company/3629,2,0,0,N/A,N/A,N/A
1922,爱吧网,https://www.butian.net/Company/952,3,1,0,N/A,N/A,N/A
1923,句容市婚姻登记管理,https://www.butian.net/Company/4345,3,0,0,N/A,N/A,N/A
1924,比克尔,https://www.butian.net/Company/3789,2,1,0,N/A,N/A,N/A
1925,山东农业大学,https://www.butian.net/Company/25966,0,0,0,鲁ICP备05002369号-2,124.130.146.233,事业单位
1926,温州职业技术学院,https://www.butian.net/Company/28152,32,9,0,浙ICP备06027531号-10,www.shoessky.cn,事业单位
1927,米鼠网,https://www.butian.net/Company/28151,19,0,0,N/A,N/A,N/A
1928,中国民生网,https://www.butian.net/Company/28057,0,0,0,N/A,N/A,N/A
1929,山东财经大学,https://www.butian.net/Company/4553,46,0,0,鲁ICP备05001933号-2,www.sdufe.edu.cn,事业单位
1930,上海追梦网络科技有限公司,https://www.butian.net/Company/28150,0,0,0,沪ICP备11018711号-2,www.dreamore.com,企业
1931,句容市人力资源和社会保障局,https://www.butian.net/Company/4552,7,5,0,N/A,N/A,N/A
1932,国旅联合股份有限公司,https://www.butian.net/Company/4554,2,0,0,N/A,N/A,N/A
1933,重庆国土房管局,https://www.butian.net/Company/28148,1,0,0,N/A,N/A,N/A
1934,山东商业职业技术学院,https://www.butian.net/Company/28147,33,0,0,鲁ICP备05002370号-3,www.sdylzjjt.com,事业单位
1935,广州欢网科技有限责任公司,https://www.butian.net/Company/28146,49,0,0,粤ICP备10042161号-19,www.huan.tv,企业
1936,句容市人力资源和社会保障局信息中心,https://www.butian.net/Company/4551,0,0,0,N/A,N/A,N/A
1937,斗米兼职,https://www.butian.net/Company/4546,6,2,0,N/A,N/A,N/A
1938,荆州职业技术学院,https://www.butian.net/Company/4547,11,4,0,鄂ICP备05011292号-7,www.jzvt.edu.cn,事业单位
1939,广州市电子政务服务中心,https://www.butian.net/Company/4548,2,0,0,N/A,N/A,N/A
1940,聚名网,https://www.butian.net/Company/28144,3,0,0,N/A,N/A,N/A
1941,白云山制药总厂,https://www.butian.net/Company/4549,10,6,0,N/A,N/A,N/A
1942,福州金英科技有限公司,https://www.butian.net/Company/28142,3,0,0,闽ICP备17003193号-13,www.kwsyun.com,企业
1943,浙江水利水电学院,https://www.butian.net/Company/28141,23,0,0,浙ICP备05014524号-1,www.zjweu.edu.cn,事业单位
1944,响站,https://www.butian.net/Company/28056,5,0,0,N/A,N/A,N/A
1945,北京车讯互联网股份有限公司,https://www.butian.net/Company/28140,27,17,1,京ICP备10007919号-19,www.jind-hotel.com,企业
1946,成都全搜索,https://www.butian.net/Company/4540,18,7,0,N/A,N/A,N/A
1947,南京先极科技有限公司,https://www.butian.net/Company/28139,32,1,0,苏ICP备14057058号-1,www.changedu.com,企业
1948,东莞市科力达衡器有限公司,https://www.butian.net/Company/4541,0,0,0,N/A,N/A,N/A
1949,任子行,https://www.butian.net/Company/28138,14,5,0,N/A,N/A,N/A
1950,丹阳人才网,https://www.butian.net/Company/4542,22,0,0,N/A,N/A,N/A
1951,优效,https://www.butian.net/Company/28137,2,0,0,N/A,N/A,N/A
1952,心动网络股份有限公司,https://www.butian.net/Company/4534,7,5,0,沪ICP备11033765号-14,www.xindong.com,企业
1953,北京创意麦奇教育信息咨询有限公司,https://www.butian.net/Company/4535,6,2,0,京ICP备11004351号-23,www.tutormeetplus.com,企业
1954,中国电信学院,https://www.butian.net/Company/28136,0,0,0,N/A,N/A,N/A
1955,江苏中威科技软件系统有限公司,https://www.butian.net/Company/28134,19,2,0,苏ICP备2021026879号-1,www.trueway.com.cn,企业
1956,陕西工业职业技术学院,https://www.butian.net/Company/4536,60,0,0,陕ICP备08104344号-4,www.wiomve.com,事业单位
1957,拉卡拉商务服务有限公司,https://www.butian.net/Company/4533,2,0,0,N/A,N/A,N/A
1958,广州市明夏阳人工智能技术有限公司,https://www.butian.net/Company/28063,1,0,0,N/A,N/A,N/A
1959,美橙互联,https://www.butian.net/Company/4539,53,17,1,N/A,N/A,N/A
1960,华夏幸福基业股份有限公司,https://www.butian.net/Company/4530,18,1,0,N/A,N/A,N/A
1961,南通市政府,https://www.butian.net/Company/4544,27,16,1,N/A,N/A,N/A
1962,中山市网联信息科技有限公司,https://www.butian.net/Company/28132,1,1,0,粤ICP备09102659号-2,www.wanleo.com.cn,企业
1963,杭州猫幻信息科技有限公司,https://www.butian.net/Company/28131,1,0,0,N/A,N/A,N/A
1964,棉花象,https://www.butian.net/Company/28081,4,0,0,N/A,N/A,N/A
1965,浙江校友邦人力资源有限公司,https://www.butian.net/Company/4538,11,7,0,N/A,N/A,N/A
1966,汇添富基金管理股份有限公司,https://www.butian.net/Company/4531,3,0,0,沪ICP备05008079号-4,www.chinauniversalasset.com,企业
1967,江苏楚淮软件科技开发有限公司,https://www.butian.net/Company/4528,16,0,0,苏ICP备12005541号-1,www.jschrj.com,企业
1968,chat711约克英语会话,https://www.butian.net/Company/28128,9,0,0,N/A,N/A,N/A
1969,华泰人寿保险股份有限公司,https://www.butian.net/Company/2502,10,1,0,京ICP备2021024509号-1,www.huikangapp.com,企业
1970,盛大游戏,https://www.butian.net/Company/4525,11,0,0,N/A,N/A,N/A
1971,人人乐连锁商业集团股份有限公司,https://www.butian.net/Company/4523,30,0,0,粤ICP备08005352号-2,www.rrlgou.com,企业
1972,北京全峰快递有限责任公司,https://www.butian.net/Company/4520,36,0,0,N/A,N/A,N/A
1973,成都雅堂投资股份有限公司,https://www.butian.net/Company/28125,3,0,0,N/A,N/A,N/A
1974,广州七侠网络科技有限公司,https://www.butian.net/Company/4516,20,0,0,N/A,N/A,N/A
1975,银泰网,https://www.butian.net/Company/4517,3,0,0,N/A,N/A,N/A
1976,东莞市矩正电子科技有限公司,https://www.butian.net/Company/4514,0,0,0,粤ICP备12057168号-2,www.0769china.net,企业
1977,创成装饰,https://www.butian.net/Company/4510,5,0,0,N/A,N/A,N/A
1978,哈尔滨银行,https://www.butian.net/Company/4509,6,0,0,N/A,N/A,N/A
1979,YzmCMS,https://www.butian.net/Company/28124,7,4,0,N/A,N/A,N/A
1980,深圳喜爱科技有限公司,https://www.butian.net/Company/4518,2,0,0,N/A,N/A,N/A
1981,闵行区教育局,https://www.butian.net/Company/4505,25,24,1,N/A,N/A,N/A
1982,四川程友科技开发有限公司,https://www.butian.net/Company/4506,0,0,0,蜀ICP备10031432号-1,www.einf.cn,企业
1983,甘肃省计算中心,https://www.butian.net/Company/4503,4,0,0,陇ICP备05003727号-15,www.cc.gs.cn,事业单位
1984,浙江红蜻蜓鞋业股份有限公司,https://www.butian.net/Company/4502,17,0,0,浙ICP备09035513号-1,www.chinahqt.com,企业
1985,中共中央党校图书馆,https://www.butian.net/Company/28119,0,0,0,N/A,N/A,N/A
1986,北京共享互联科技有限公司,https://www.butian.net/Company/4500,3,0,0,京ICP备16042344号-1,www.jinengjie.com,企业
1987,北京慧米科技有限公司,https://www.butian.net/Company/4499,0,0,0,京ICP备16022976号-1,www.soonbook.com.cn,企业
1988,中央电话教育馆,https://www.butian.net/Company/4497,0,0,0,N/A,N/A,N/A
